node_id,x,y,parent_id
0,0.0,0.0,-1
1,8.307884686983631e-2,-4.999309742874788,0
2,4.530163085293691,2.1160393239829802,0
3,-3.6837367492126027,3.3808406591409432,0
4,-4.455861539957038,-7.0964554614246245,1
5,-7.668267590242089,6.401356174228534,3
6,-9.717795566037424,10.961995940361382,5
7,-2.2473329842045273,-11.582255459019894,4
8,1.7859103407756565,-14.537411678495065,7
9,8.92093965986462,-0.27583882345663646,2
10,-13.357334607578695,14.390371002267074,6
11,-1.0321897664988455,-12.960557270269568,7
12,13.713817302340995,-1.7000311925732912,9
13,-12.579183240531687,5.461724610401149,5
14,-7.052432407486322,14.620077122005949,6
15,-8.14234141548608,15.231385568219569,14
16,-15.568479036463662,1.4537187914902754,13
17,4.113260835657659,-14.871438828979354,8
18,-2.3302461651845654,12.976618241164685,14
19,8.05936795523145,-17.94198252690144,17
20,11.666813929876849,-21.404110996501423,19
21,15.418074843177791,-18.098352148620865,20
22,2.255871502145115,14.968482880493012,18
23,3.2963924543469005,-6.368319695097782,1
24,1.9338000523800836,6.389082619026883,2
25,11.410628560479811,-17.663960040911842,19
26,-3.3999288499909297,-17.36439782511531,11
27,-11.893314709570127,4.9778180313262865,13
28,6.7766564402143805,12.832481114640263,22
29,-9.232144016467476,-5.617562056009847,4
30,11.753311193444194,12.349876237794724,28
31,14.421017297978079,16.578746552646276,30
32,-6.957383093580518,6.482848607623303,5
33,9.409273701370736,-19.226677879153613,19
34,3.9179954771726386,4.325119436062749,2
35,6.934156456076579,1.007855272899775,9
36,14.370309059919792,21.578489413493525,31
37,3.095179847720239,15.66444548217656,22
38,14.458109314805085,-25.552444405724735,20
39,19.083397400475683,-27.451578451692423,38
40,-2.593309679723234,3.968778219011135,3
41,14.491321674837693,25.998496729346822,36
42,18.903813770011215,28.350073542897928,41
43,15.425782498536222,18.513689600021024,31
44,-18.800786607487066,-2.36101419606007,16
45,10.527018391430332,-4.524818378599136,12
46,-4.64052103907747,-6.15416883123234,4
47,23.5025978134571,30.312517254637843,42
48,12.195883511636383,30.440451663710633,41
49,1.8402068683978428,4.4594011447361055,24
50,17.77878826668178,28.880735597533985,42
51,19.152879518777084,-32.45109565190649,39
52,13.736989327692783,30.096626819979253,48
53,28.42716577459487,31.17775155593167,47
